event, quantity
L1-dcache-loads:u, 4607884791
L1-dcache-load-misses:u, 2148447492
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1470409154
l2_cache_req_stat.ls_rd_blk_c:u, 345960845
cache-misses:u, 346154705
cache-references:u, 3085745780
L1-dcache-loads:u, 4606653336
L1-dcache-load-misses:u, 2147581993
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1810381473
l2_cache_req_stat.ls_rd_blk_c:u, 339615320
cache-misses:u, 339178660
cache-references:u, 3058746844
L1-dcache-loads:u, 4606433711
L1-dcache-load-misses:u, 2146846228
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1552629917
l2_cache_req_stat.ls_rd_blk_c:u, 352717544
cache-misses:u, 353184286
cache-references:u, 3037542320
L1-dcache-loads:u, 4605531272
L1-dcache-load-misses:u, 2147834504
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1551252356
l2_cache_req_stat.ls_rd_blk_c:u, 356300206
cache-misses:u, 356414521
cache-references:u, 2967985918
L1-dcache-loads:u, 4606144720
L1-dcache-load-misses:u, 2147446075
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1666388794
l2_cache_req_stat.ls_rd_blk_c:u, 351088713
cache-misses:u, 351351430
cache-references:u, 3030520008
L1-dcache-loads:u, 4607048543
L1-dcache-load-misses:u, 2146540585
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1723362992
l2_cache_req_stat.ls_rd_blk_c:u, 346255068
cache-misses:u, 346196830
cache-references:u, 3059839660
L1-dcache-loads:u, 4602380374
L1-dcache-load-misses:u, 2147583810
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1555767582
l2_cache_req_stat.ls_rd_blk_c:u, 389504861
cache-misses:u, 389418096
cache-references:u, 2961933793
L1-dcache-loads:u, 4607114277
L1-dcache-load-misses:u, 2146412011
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1679079620
l2_cache_req_stat.ls_rd_blk_c:u, 394048235
cache-misses:u, 394110898
cache-references:u, 2917000522
L1-dcache-loads:u, 4609571572
L1-dcache-load-misses:u, 2148133102
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1747766254
l2_cache_req_stat.ls_rd_blk_c:u, 376944845
cache-misses:u, 377484798
cache-references:u, 2991801297
L1-dcache-loads:u, 4609058445
L1-dcache-load-misses:u, 2141107745
l2_cache_req_stat.ls_rd_blk_l_hit_x:u, 1665497262
l2_cache_req_stat.ls_rd_blk_c:u, 420544516
cache-misses:u, 420693086
cache-references:u, 2838383443
