event, quantity
L1-dcache-load-misses, 5261233705
L1-dcache-load-misses, 5259393666
L1-dcache-load-misses, 5257537084
L1-dcache-loads, 8076642918
L1-dcache-loads, 8076643538
L1-dcache-loads, 8076643619
L1-dcache-stores, 164079966
L1-dcache-stores, 164079814
L1-dcache-stores, 164079968
l2_rqsts.all_rfo, 1441182
l2_rqsts.all_rfo, 1436116
l2_rqsts.all_rfo, 1438454
l2_rqsts.rfo_miss, 195
l2_rqsts.rfo_miss, 177
l2_rqsts.rfo_miss, 174
l2_rqsts.all_demand_data_rd, 5017471186
l2_rqsts.all_demand_data_rd, 5017855396
l2_rqsts.all_demand_data_rd, 5020030178
l2_rqsts.demand_data_rd_miss, 368495306
l2_rqsts.demand_data_rd_miss, 370153153
l2_rqsts.demand_data_rd_miss, 373842278
L1-dcache-load-misses, 5264626949
L1-dcache-loads, 8076642842
L1-dcache-stores, 164079958
l2_rqsts.all_rfo, 1445451
l2_rqsts.rfo_miss, 229
l2_rqsts.all_demand_data_rd, 5020679710
l2_rqsts.demand_data_rd_miss, 369146623
L1-dcache-load-misses, 5266677844
L1-dcache-loads, 8076642897
L1-dcache-stores, 164079965
l2_rqsts.all_rfo, 1445670
l2_rqsts.rfo_miss, 211
l2_rqsts.all_demand_data_rd, 5026163500
l2_rqsts.demand_data_rd_miss, 372951037
L1-dcache-load-misses, 5263206290
L1-dcache-loads, 8076642530
L1-dcache-stores, 164079819
l2_rqsts.all_rfo, 1444531
l2_rqsts.rfo_miss, 188
l2_rqsts.all_demand_data_rd, 5020494447
l2_rqsts.demand_data_rd_miss, 370537187
L1-dcache-load-misses, 5258266575
L1-dcache-loads, 8076643295
L1-dcache-stores, 164079967
l2_rqsts.all_rfo, 1445207
l2_rqsts.rfo_miss, 190
l2_rqsts.all_demand_data_rd, 5020717215
l2_rqsts.demand_data_rd_miss, 369650360
L1-dcache-load-misses, 5260515274
L1-dcache-loads, 8076642126
L1-dcache-stores, 164079674
l2_rqsts.all_rfo, 1443207
l2_rqsts.rfo_miss, 197
l2_rqsts.all_demand_data_rd, 5019865877
l2_rqsts.demand_data_rd_miss, 369915624
L1-dcache-load-misses, 5258248524
L1-dcache-loads, 8076642658
L1-dcache-stores, 164079944
l2_rqsts.all_rfo, 1471977
l2_rqsts.rfo_miss, 190
l2_rqsts.all_demand_data_rd, 5018890956
l2_rqsts.demand_data_rd_miss, 371548097
L1-dcache-load-misses, 5258903266
L1-dcache-loads, 8076642456
L1-dcache-stores, 164079816
l2_rqsts.all_rfo, 1466393
l2_rqsts.rfo_miss, 208
l2_rqsts.all_demand_data_rd, 5019318626
l2_rqsts.demand_data_rd_miss, 368318458
